affiliation_affiliation_id,affiliation_name,address
559,Fatih University,Istanbul Turkey
560,Federal University of Para,Belem Brazil
561,Federal University of Pernambuco,Recife Brazil
562,Federal University of Rio Grande do Sul,Porto Alegre Brazil
563,"Federal University of Rio Grande do Sul, Porto Alegre Brazil; Bath University",UK
564,Federal University of Santa Catarina,Florianopolis Brazil
565,Federal University of Sao Carlos,Brazil
566,Financial Crimes Enforcement Network,Vienna VA
567,Flinders University of South Australia,Adelaide Australia
568,Florida Institute for Human and Machine Cognition,Pensacola FL
569,Florida International University,Miami FL
570,Florida State University,Tallahassee Florida
571,Fondazione Bruno Kessler,Trento Italy
572,"Fondazione Bruno Kessler, Trento Italy; Center for Scientific and Technological Research",Trento Italy
573,Food and Agricultural Organization of the United Nations,Rome Italy
574,Fordham University,Bronx NY
575,Fordyce,Cameron
576,Forschungsgruppe LIMAS,Bonn Germany
577,France Telecom R&D Center (Beijing),Beijing China
578,"France Telecom R&D Center (Beijing), Beijing China; Beijing University of Posts and Telecommunications",Beijing China
579,Fraunhofer Institute for Computer Graphics (IGD),Darmstadt Germany
580,Fraunhofer Institute for Industrial Engineering,Stuttgart Germany
581,"Fraunhofer Institute for Industrial Engineering, Stuttgart Germany; University of Stuttgart",Stuttgart Germany
582,Fraunhofer Institute for Intelligent Analysis and Information Systems (IAIS),Germany
583,Frederick Institute of Technology,Cyprus
584,Free University Brussels,Brussels Belgium
585,Free University of Bolzano Bozen,Bolzano Bozen Italy
586,Frei University,Berlin Germany
587,Freiburg University,Freiburg Germany
588,"Freiburg University, Freiburg Germany; University of Jena",Jena Germany
589,French National Institute for Agricultural Research Rennes,Rennes France
590,French National Institute for Agricultural Research,Domaine de Vilvert France
591,French Telecom R&D,Lannion France
592,Fudan University,Shanghai China
593,Fuji Xerox Co. Ltd.,Kanagawa Japan
594,Fujitsu Laboratories,Kawasaki Japan
595,"Fujitsu Limited, Tokyo Japan; Nara Institute of Science and Technology",Nara Japan
596,Fujitsu Ltd.,Yokohama Japan
597,"Fujitsu Nexion, Inc.",St. Louis MO
598,"Fujitsu R&D Center Co., Ltd.",Beijing China
599,Fukui University,Fukui Japan
600,Fukuoka University,Fukuoka Japan
601,Future University,Hakodate Japan
602,,GE Aerospace
603,GE Company,Santa Barbara CA
604,GE Corporate Research & Development,Schenectady NY
605,GTE Government Systems,Mountain View CA
606,"GTE Laboratories, Inc.",Waltham MA
607,"Galatasaray University, Istanbul Turkey; CEDRIC Laboratory",Paris France
608,General Dynamics,Greensboro NC
609,General Motors Research Laboratories,Warren MI
610,Geneva Bioinformatics,Geneva Switzerland
611,"Geneva Bioinformatics, Geneva Switzerland; Swiss Institute of Bioinformatics",Geneva Switzerland
612,"Geneva Bioinformatics, Geneva Switzerland; University of Geneva",Geneva Switzerland
613,Gensym Corporation,Cambridge UK
614,George Mason University,Fairfax VA
615,"George Mason University, Fairfax VA; The MITRE Corporation",McLean VA
616,George Washington University,Ashburn VA
617,"George Washington University, Ashburn VA; University of Bologna",Bologna Italy
618,Georgetown University,Washington D.C.
619,Georgia Institute of Technology,Atlanta GA
620,"Georgia Institute of Technology, Atlanta GA; University of Georgia",Athens Georgia
621,Georgia Southwestern State University,Americus GA
622,German National Library,Frankfurt Germany
623,German National Research Center for Information Technology,Darmstadt Germany
624,German Research Center for Artificial Intelligence,Saarbrucken Germany
625,"German Research Center for Artificial Intelligence, Saarbrucken Germany; Saarland University",Saarbrucken Germany
626,"German Research Center for Artificial Intelligence, Saarbrucken Germany; Saarland University, Saarbrucken Germany; University of Melbourne",Melbourne Australia
627,"German Research Center for Artificial Intelligence, Saarbrucken Germany; University of Lisbon",Lisbon Portugal
628,"German University in Cairo, Cairo Egypt; IBM Cairo Technology Development Center",Giza Egypt
629,Ghent University,Ghent Belgium
630,"Ghent University, Ghent Belgium; University of Western Cape",South Africa
631,Gifu University,Gifu Japan
632,Gonzaga University,Spokane WA
633,Google Inc.,Bangalore India
634,Google Inc.,Mountain View CA
635,"Google Inc., Mountain View CA; Charles University",Prague Czech Republic
636,"Google Inc., Mountain View CA; Oregon Health & Science University",OR
637,Google Inc.,New York NY
638,Google Inc.,Pittsburgh PA
639,Google Inc.,Pyrmont Australia
640,Google Inc.,Seattle WA
641,Google Inc.,Zurich Switzerland
642,Goteborg University,Goteborg Sweden
643,"Goteborg University, Goteborg Sweden; University of Boras",Boras Sweden
644,,GrapeCity Inc.
645,Graphitech,Trento Italy
646,Graz University of Technology,Graz Austria
647,Grenoble Institute of Technology,Grenoble France
648,Grupo gdt.,Sevilla Spain
649,HCM University of Industry,HCM City Vietnam
650,"HNC Software, LLC",San Diego CA
651,"HRL Laboratories, LLC",Malibu CA
652,Hankuk University of Foreign Studies,Seoul Korea
653,Hanoi University of Technology,Hanoi Vietnam
654,Hansung University,Seoul Korea
655,Harbin Institute of Technology,Harbin China
656,"Harbin Institute of Technology, Harbin China; Hong Kong Polytechnic University",Hung Hom Hong Kong
657,"Harbin Institute of Technology, Harbin China; Toshiba (China) Research and Development Center",Beijing China
658,Hargraves,Orin
659,Harlequin Ltd.,Edinburgh UK
660,Harvard University,Cambridge MA
661,"Harvard University, Cambridge MA; BBN Technologies",Cambridge MA
662,Hebrew University of Jerusalem,Jerusalem Israel
663,"Hebrew University of Jerusalem, Jerusalem Israel; Bar Ilan University",Ramat Gan Israel
664,Heilongjiang University,Harbin China
665,Helsinki University of Technology,Helsinki Finland
666,Helsinki University,Helsinki Finland
667,"Helsinki University, Helsinki Finland; University of Art and Design Helsinki",Helsinki Finland
668,"Helsinki University, Helsinki Finland; University of Washington",Seattle WA
669,Heriot-Watt University,Edinburgh UK
670,Hertzen Pedagogical University,St. Petersburg USSR
671,Hewlett Packard Company,Palo Alto CA
672,Hewlett Packard Laboratories,Bristol UK
673,"Hewlett Packard Laboratories, Bristol UK; Hewlett Packard Company",Palo Alto CA
674,"Hewlett Packard Laboratories, Bristol UK; University of Pennsylvania",Philadelphia PA
675,Higher Institute of Engineering and Building,Sofia Bulgaria
676,Himeji College,Himeji Japan
677,"Hipp, Wyrick & Company, Inc.",Charlotte NC
678,Hiroshima City University,Hiroshima Japan
679,Hiroshima University,Hiroshima Japan
680,"Hitachi Dublin Laboratory, Dublin Ireland; Trinity College Dublin",Dublin Ireland
681,Hitachi Ltd.,Kanagawa Japan
682,Hitachi Ltd.,Kawasaki Japan
683,Hitachi Ltd.,Saitama Japan
684,Hitachi Ltd.,Tokyo Japan
685,"Hitachi Ltd., Tokyo Japan; University of Tokyo",Tokyo Japan
686,Hofstra University,Hempstead NY
687,Hokkai-Gakuen University,Sapporo Japan
688,Hokkaido University,Sapporo Japan
689,"Hokuto System Co., Ltd.",Sapporo Japan
690,"Honda Research Institute Japan Co., Ltd.",Saitama Japan
691,Honda Research Institute,Mountain View CA
692,Honeywell International,Minneapolis MN
693,Hong Kong Polytechnic University,Hung Hom Hong Kong
694,"Hong Kong Polytechnic University, Hung Hom Hong Kong; Tianjin University",Tianjin China
695,"Hong Kong Polytechnic University, Hung Hom Hong Kong; Wuhan University",Wuhan China
696,"Hong Kong Polytechnic University, Hung Hom Hong Kong; Wuhan University, Wuhan China; IBM China",Beijing China
697,Hosei University,Tokyo Japan
698,Hottolink Inc.,Tokyo Japan
699,Houghton-Mifflin Company,Boston MA
700,"Howard University, Washington D.C.; Software Troubleshooters",Washington D.C.
701,Hsieh,Shu-Kai
702,Huafan University,Shihding Taiwan
703,Huazhong Normal University,Wuhan China
704,Hubbell,James
705,Hughes Research Laboratories,Malibu CA
706,Human Media Interaction Twente,Twente The Netherlands
707,Humboldt University of Berlin,Berlin Germany
708,Hunan University,Hunan China
709,Hungarian Academy of Sciences,Budapest Hungary
710,Hyogo University of Teacher Education,Hyogo Japan
711,IBM Almaden Research Center,San Jose CA
712,IBM Cairo Technology Development Center,Giza Egypt
713,IBM China,Beijing China
714,IBM Corp.,Boca Raton FL
715,"IBM Corporation, Cambridge MA; Harvard University",Cambridge MA
716,IBM Czech Republic,Prague Czech Republic
717,IBM Data Systems Division,White Plains NY
718,IBM Dublin Center for Advanced Studies,Dublin Ireland
719,IBM Germany GmbH,Stuttgart Germany
720,IBM India Research Lab,Bangalore India
721,IBM Israel Scientific Center,Haifa Israel
722,"IBM Israel Scientific Center, Haifa Israel; University of Haifa",Haifa Israel
723,IBM Japan Ltd.,Kanagawa Japan
724,IBM Los Angeles Scientific Center,Los Angeles CA
725,IBM Madrid Scientific Center,Madrid Spain
726,IBM Palo Alto Scientific Center,Palo Alto CA
727,IBM Paris Scientific Center,Paris France
728,IBM Research India,New Delhi India
729,"IBM Research India, New Delhi India; Indian Institute of Technology",New Delhi India
730,IBM Research Rome,Rome Italy
731,IBM Research Tokyo,Tokyo Japan
732,IBM Research UK,Winchester UK
733,IBM Scientific Center,Heidelberg Germany
734,IBM Systems Research Institute,New York NY
735,IBM T.J. Watson Research Center,Yorktown Heights NY
736,"IBM T.J. Watson Research Center, Yorktown Heights NY; Cambridge University",Cambridge UK
737,"IBM T.J. Watson Research Center, Yorktown Heights NY; City University of New York-Hunter College",New York NY
738,"IBM T.J. Watson Research Center, Yorktown Heights NY; New York University",New York NY
739,"IBM T.J. Watson Research Center, Yorktown Heights NY; University of Pisa, Pisa Italy; CNR-Institute of Computational Linguistics",Pisa Italy
740,"IBM T.J. Watson Research Center, Yorktown Heights NY; Wayne State University",Detroit MI
741,IBM Toronto,North York ON
742,IDA Center for Computing Sciences,Bowie MD
743,IDIAP Research Institute,Martigny Switzerland
744,IFCI,Grenoble France
745,ILTEC,Lisbon Portugal
746,INALCO,Paris France
747,INESC,Lisbon Portugal
748,"INESC, Lisbon Portugal; Higher Institute of Labor Science and Enterprise",Lisbon Portugal
749,"INESC, Lisbon Portugal; New York University, New York NY; Technical University of Lisbon",Lisbon Portugal
750,"INESC, Lisbon Portugal; Technical University of Lisbon",Lisbon Portugal
751,"INIST, France; University of Paris 13",Villetaneuse France
752,INOV,Lisbon Portugal
753,INRIA Futurs,Lille France
754,INRIA,Le Chesnay France
755,"INRIA, Le Chesnay France; CNRS",France
756,"INRIA, Le Chesnay France; IRISA",Rennes France
757,"INRIA, Le Chesnay France; LORIA",Vandoeuvre-les-Nancy France
758,"INRIA, Le Chesnay France; LORIA, Vandoeuvre-les-Nancy France; University of Nancy 1",Nancy France
759,"INRIA, Le Chesnay France; New University of Lisbon",Lisbon Portugal
760,"INRIA, Le Chesnay France; University of Orleans",Orleans France
761,"INRIA, Le Chesnay France; University of Paris 4",Paris France
762,"INRIA, Le Chesnay France; University of Paris 7",Paris France
763,INRS-Telecommunications,Montreal QU
764,"INRS-Telecommunications, Montreal QU; Bell-Northern Research",Montreal QU
765,INSA-Strasbourg,Strasbourg France
766,INSERM,Villejuif France
767,INSSEE,Malakoff France
768,IRISA,Rennes France
769,"IRISA, Rennes France; CNRS",France
770,"IRISA, Rennes France; Centre National d'Etudes des Telecommunications",Lannion France
771,"IRISA, Rennes France; INSA-Rennes",Rennes France
772,"IRISA, Rennes France; University of Rennes 1",Rennes France
773,Ibaraki University,Ibaraki Japan
774,Ikuni Inc.,Palo Alto CA
775,Illinois Institute of Technology,Chicago IL
776,Im Mellsig 25,Franfurt Germany
777,InQuizit Technologies Inc.,Santa Monica CA
778,"Index, Oy",Helsinki Finland
779,Indian Institute of Information Technology,Allahabad India
780,Indian Institute of Technology,Bombay India
781,Indian Institute of Technology,Kanpur India
782,Indian Institute of Technology,Kharagpur India
783,Indian Institute of Technology,Madras India
784,Indian Institute of Technology,New Delhi India
785,Indian Statistical Institute,Bangalore India
786,Indian Statistical Institute,Calcutta India
787,Indiana University,Bloomington IN
788,Indus Research Center,Chennai India
789,Industrial Technology Research Institute,Hsinchu Taiwan
790,Infineon Technologies,Munich Germany
791,InforSense LLC,Cambridge MA
792,Information Center of PEOPLE'S DAILY,China
793,Information and Communications University,Daejeon Korea
794,Information-technology Promotion Agency,Tokyo Japan
795,Informatique-CDC,Arcueil France
796,"Informatique-CDC, Arcueil France; University of Paris 6",Paris France
797,Insightful Corporation,Seattle WA
798,Institut EURECOM,Valbonne France
799,Institut National de l'Audiovisuel,Bry-sur-Marne France
800,Institut de Recherche et Coordination Acoustique Musique (IRCAM),Paris France
801,Institute for Defense Analyses,Alexandria VA
802,Institute for Defense Analyses,Princeton NJ
803,Institute for Dutch Lexicology,Leiden The Netherlands
804,Institute for Electrical Research,Cuernavaca Mexico
805,Institute for German Language,Mannheim Germany
806,Institute for Infocomm Research,Singapore
807,"Institute for Infocomm Research, Singapore; National University of Singapore",Singapore
808,"Institute for Infocomm Research, Singapore; Soochow University",Suzhou China
809,Institute for Language Technology and Artificial Intelligence (ITK),Tilburg The Netherlands
810,Institute for Language and Speech Processing,Athens Greece
811,"Institute for Language and Speech Processing, Athens Greece; National Technical University of Athens",Athens Greece
812,Institute for New Generation Computer Technology,Tokyo Japan
813,Institute for Perception Research,Eindhoven The Netherlands
814,Institute for Scientific Information,Philadelphia PA
815,Institute for Scientific Technical and Economic Information,Warsaw Poland
816,Institute for the Development of New Technologies,Monte de Caparica Portugal
817,Institute of Behavioral Sciences,Tokyo Japan
818,Institute of Biological Structures,France
819,Institute of Computing Technology,Beijing China
820,Institute of Formal and Applied Linguistics,Prague Czech Republic
821,"Institute of Informatics and Telecommunications, National Centre for Scientific Research ï¾“DEMOKRITOSï¾”",Athens Greece
822,Institute of Information and Applied Mathematics Grenoble,Grenoble France
823,"Institute of Information and Applied Mathematics Grenoble, Grenoble France;  MICA",Vietnam
824,"Institute of Information and Applied Mathematics Grenoble, Grenoble France; Scientific and Medical University of Grenoble",Grenoble France
825,"Institute of Information and Applied Mathematics Grenoble, Grenoble France; University of Grenoble 1",Grenoble France
826,"Institute of Information and Applied Mathematics Grenoble, Grenoble France; University of Grenoble 1, Grenoble France; CNRS",France
827,"Institute of Information and Applied Mathematics Grenoble, Grenoble France; University of Grenoble 1, Grenoble France; CNRS, France; ATR Interpreting Telephony Research Laboratories",Osaka Japan
828,"Institute of Information and Applied Mathematics Grenoble, Grenoble France; University of Grenoble 1, Grenoble France; CNRS, France; WinSoft S.A.",Grenoble France
829,Institute of Information and Applied Mathematics Grenoble-TIMC/IMAG,La Tronche France
830,Institute of Information and Applied Mathematics Grenoble; University of Grenoble 1,Grenoble France
831,"Institute of Information and Applied Mathematics Grenoble; University of Grenoble 3, Grenoble France; Domaine Universitaire de St. Martin d'Heres",Grenoble France
832,Institute of Linguistics,Budapest Hungary
833,Institute of Mathematical Sciences,Chennai India
834,Institute of Mathematics,Bucharest Romania
835,Institute of Phonetics and Speech Processing,Munich Germany
836,Institute of Physical and Chemical Research,Yokohama Japan
837,Institute of Research in Informatics Toulouse,Toulouse France
838,"Institute of Research in Informatics Toulouse, Toulouse France; CNRS",France
839,"Institute of Research in Informatics Toulouse, Toulouse France; CNRS, France; University of Toulouse 2",Toulouse France
840,"Institute of Research in Informatics Toulouse, Toulouse France; CNRS, France; University of Toulouse",Toulouse France
841,"Institute of Research in Informatics Toulouse, Toulouse France; University of Toulouse 3",Toulouse France
842,Institute of Technology Chihuahua,Chihuahua Mexico
843,Institute of the Estonian Language,Tallinn Estonia
844,Institute of the Russian Language,Moscow USSR
845,Insubria University,Varese Italy
846,,Integrated Knowledge Systems
847,Intel China Research Center,Beijing China
848,Intel Research,Santa Clara CA
849,Intellectual Property Association,Washington D.C.
850,"Intelligent Interface Group (COES), Rome NY; Cambridge University",Cambridge UK
851,"Intelligent Software, Inc.",Van Nuys CA
852,"Intelligent Text Processing, Inc.",Santa Monica CA
853,Intelligent Views,Darmstadt Germany
854,Intelliseek Inc.,Pittsburgh PA
855,Intendi Inc.,Hong Kong
856,"Intendi Inc., Hong Kong; University of Science and Technology",Clear Water Bay Hong Kong
857,"Interactive Systems, Inc.",Pittsburgh PA
858,International Christian University,Tokyo Japan
859,International Institute of Information Technology,Hyderabad India
860,International Language Centre,Beirut Lebanon
861,"Inxight Software Inc., Sunnyvale CA; University of California",San Diego CA
862,Iona College,New Rochelle NY
863,Ionian University,Corfu Greece
864,Iowa State University,Ames IA
865,Irion Technologies,Delft The Netherlands
866,IsoQuest Inc.,Fairfax VA
867,,Israel National Security Council
868,Istanbul Technical University,Istanbul Turkey
869,Iwate Prefectural University,Iwate Japan
870,Jadavpur University,Calcutta India
871,Jagiellonian University,Krakow Poland
872,James 1 University,Castellon de la Plana Spain
873,James Cook University,Townsville Australia
874,James Madison University,Harrisonburg VA
875,Janua Linguarum Foundation,France
876,Janya Inc.,Amherst NY
877,"Janya Inc., Amherst NY; University of Buffalo",Buffalo NY
878,Japan Advanced Institute of Science and Technology,Nomi Japan
879,"Japan Advanced Institute of Science and Technology, Nomi Japan; ATR Media Information Science Labs",Japan
880,"Japan Advanced Institute of Science and Technology, Nomi Japan; CREST Japan Science and Technology Corporation",Saitama Japan
881,"Japan Airlines Co., Ltd.",Japan
882,"Japan Biological Informatics Consortium, Japan; National Institute of Advanced Industrial Science and Technology",Tokyo Japan
883,"Japan Electronic Dictionary Research Institute, Ltd.",Tokyo Japan
884,Japan Information Center of Science and Technology,Tokyo Japan
885,Japan Institute for Educational Measurement Inc.,Tokyo Japan
886,Japan Research Group for Medical Ontology,Japan
887,Japan Science and Technology Agency,Tokyo Japan
888,Japan Society for the Promotion of Science,Japan
889,Jawaharlal Nehru Unversity,Delhi India
890,Jerusalem College of Technology,Jerusalem Israel
891,Jin Wen Institute of Technology,Taipei Taiwan
892,Joanneum Research,Graz Austria
893,Johns Hopkins University,Baltimore MD
894,"Johns Hopkins University, Baltimore MD; BBN Technologies",Cambridge MA
895,"Johns Hopkins University, Baltimore MD; Cambridge University",Cambridge UK
896,"Johns Hopkins University, Baltimore MD; University of Maryland",College Park MD
897,"Johns Hopkins University, Baltimore MD; Weniwan Technologies",Hong Kong
898,Joint Research Center,Ispra Italy
899,Jozef Stefan Institute,Ljubljana Slovenia
900,Just Research,Pittsburgh PA
901,Justsystem Corporation,Tokushima Japan
902,K-PRO Ltd.,Hungary
903,KDDI R&D Labs,Saitama Japan
904,KVAL Research Institute for Information Science,Stockholm Sweden
905,Kalamazoo College,Kalamazoo MI
906,Kangnam University,Kyunggi Korea
907,Kangwon National University,Chuncheon Korea
908,"Karl Marx University, Leipzig Germany; Academy of Sciences of the DDR",Berlin Germany
909,Karolinska Institute,Stockholm Sweden
910,Kasetsart University,Bangkok Thailand
911,"Kasetsart University, Bangkok Thailand; National Electronic and Computer Technology Center",Pathumthani Thailand
912,Kathpol Technologies Inc.,Elkridge MD
913,Keio Research Institute at SFC,Kanagawa Japan
914,Keio University,Tokyo Japan
915,Kent Ridge Digital Labs,Singapore
916,Kent State University,Kent OH
917,King Abdulaziz City for Science and Technology,Riyadh Saudi Arabia
918,King Fahd University of Petroleum and Minerals,Dhahran Saudi Arabia
919,King John Charles University,Madrid Spain
920,King's College London,London UK
921,Knowbotic Systems,Frankfurt Germany
922,Knowledge Analysis Technologies,Boulder CO
923,Kobe Shoin Women's University,Kobe Japan
924,Kobe University,Kobe Japan
925,"Kobe University, Kobe Japan; National Institute of Information and Communications Technology",Kyoto Japan
926,Koc University,Istanbul Turkey
927,Kofax Image Products,San Diego CA
928,Kogakuin University,Tokyo Japan
929,Konan University,Kobe Japan
930,Kookmin University,Seoul Korea
931,Korea Academy of Industrial Technology,Seoul Korea
932,Korea Advanced Institute of Science and Technology,Korea
933,"Korea Advanced Institute of Science and Technology, Korea; Daum Communications Corp",Seoul Korea
934,"Korea Advanced Institute of Science and Technology, Korea; University of Marne la Vallee",Marne la Vallee France
935,"Korea Advanced Institute of Science and Technology, Korea; Yanbian University of Science and Technology",Yanji City China
936,Korea Institute of Science and Technology,Seoul Korea
937,Korea Telecom,Korea
938,Korea University,Seoul Korea
939,Korlex Software,Bedford NS
940,Kumoh National Institute of Technology,Kumi Korea
941,Kurume Institute of Technology,Kurume Japan
942,Kyoto Institute of Technology,Kyoto Japan
943,Kyoto University,Kyoto Japan
944,"Kyoto University, Kyoto Japan; Nagoya University",Nagoya Japan
945,"Kyoto University, Kyoto Japan; National Institute of Information and Communications Technology",Kyoto Japan
946,Kyung Hee University,Seoul Korea
947,Kyungpook National University,Daegu Korea
948,Kyushu Institute of Technology,Japan
949,"Kyushu Institute of Technology, Japan; PRESTO Japan Science and Technology Corporation",Saitama Japan
950,Kyushu University,Fukuoka Japan
951,LDCIL,CIIL-Mysore India
952,LG Electronics Institute of Technology,Seoul Korea
953,LINGLINK,Luxembourg
954,LORIA,Vandoeuvre-les-Nancy France
955,"LORIA, Vandoeuvre-les-Nancy France; CNRS",France
956,"LORIA, Vandoeuvre-les-Nancy France; INRIA",Le Chesnay France
957,"LORIA, Vandoeuvre-les-Nancy France; INRIA, Le Chesnay France; University of Nancy 1",Nancy France
958,"LORIA, Vandoeuvre-les-Nancy France; National Polytechnic Institute of Lorraine",Nancy France
959,"LORIA, Vandoeuvre-les-Nancy France; University of Nancy 1",Nancy France
960,La Trobe University,Melbourne Australia
961,,Laboratoire de Traduction Mecanique de l'institut des Langues Etrangeres
962,Laboratoires de Marcoussis,Marcoussis France
963,Laboratories for Information Technology,Singapore
964,Laboratory of Cognitive Science and Psycholinguistics,Paris France
965,Lancaster University,Lancaster UK
966,Langenscheidt KG,Munich Germany
967,Langkilde-Geary,Irene
968,Language Computer Corporation,Richardson TX
969,Language Systems Inc.,Woodland Hills CA
970,Language Technologies Institute,Pittsburgh PA
971,Language Technologies Research Centre,Gatineau QU
972,"Language Technology, Inc.",Austin TX
973,Language Weaver Inc.,Marina del Rey CA
974,Language and Computing NV,Belgium
975,Languagelens,Copenhagen Denmark
976,Larisa Zlatic Language Services,Austin TX
977,Laval University,Quebec City QU
978,Lavergne,Thomas
979,"Leeds Metropolitan University, Leeds UK; University of York",York UK
980,Leiden University,Leiden The Netherlands
981,Lernout & Hauspie,Wemmel Belgium
982,"Lernout Lernout & Hauspie, Belgium Hauspie",Wemmel Belgium
983,"Lernout Lernout & Hauspie, Belgium Hauspie, Wemmel Belgium; Ghent University",Ghent Belgium
984,Les Logiciels Machina Sapiens Inc.,Montreal QU
985,Lexical Computing Ltd.,Brighton UK
986,,Lexicography Master Class
987,,Lexis-Nexis
988,Lexware Labs,Goteborg Sweden
989,Lhomme,Stanislas
990,Library of Congress,Washington D.C.
991,LingIT,Norway
992,Linguistech Consortium,NJ
993,,Lingway
994,Linkoping University,Linkoping Sweden
995,Litton PRC,McLean VA
996,Lockheed Martin Corp.,Arlington VA
997,Lockheed Martin Corp.,Camden NJ
998,Lockheed Martin Corp.,Philadelphia PA
999,Lockheed Martin Systems Integration,Owego NY
1000,LogicDIS Group,Patras Greece
1001,Logica Cambridge Ltd.,Cambridge UK
1002,Logical Properties Inc.,Montreal QU
1003,Logicon,Arlington VA
1004,Logicon,Woodland Hills CA
1005,Long Island University,Greenvale NY
1006,Longman Dictionaries,Harlow UK
1007,Lopresti,Daniel
1008,Los Alamos National Laboratory,Los Alamos NM
1009,Los Angeles Software Inc.,Santa Monica CA
1010,Lotus Development Corporation,Cambridge MA
1011,Loughborough University,Loughborough UK
1012,Louisiana State University,Baton Rouge LA
1013,Loyola College in Maryland,Baltimore MD
1014,Lund University,Sweden
1015,Lycos Inc.,Waltham MA
1016,Lymba Corporation,Richardson TX
1017,MARI Computer Systems Ltd.,Ashington UK
1018,MAYA Design Inc.,Pittsburgh PA
1019,MCC,Austin TX
1020,"MCC, Austin TX; University of Texas at Austin",Austin TX
1021,MICA,Vietnam
1022,Machina Sapiens,Montreal QU
1023,,Machine Intelligence Corporation
1024,Machine Translation Lab-SERI,Taejon Korea
1025,Macquarie University,Sydney Australia
1026,"Macquarie University, Sydney Australia; CSIRO",Sydney Australia
1027,"Macquarie University, Sydney Australia; Capital Markets CRC Limited",Sydney Australia
1028,"Macquarie University, Sydney Australia; University of Provence",Aix-en Provence France
1029,Madan Puraskar Pustakalaya (MPP),Nepal
1030,Makerere University,Kampala Uganda
1031,Malaviya National Institute of Technology,Jaipur India
1032,Manchester Metropolitan University,Manchester UK
1033,Marche Polytechnic University,Ancona Italy
1034,Marquette University,Milwaukee WI
1035,Masaryk University,Brno Czech Republic
1036,Massachusetts Institute of Technology,Cambridge MA
1037,"Massachusetts Institute of Technology, Cambridge MA; BBN Technologies",Cambridge MA
1038,"Massachusetts Institute of Technology, Cambridge MA; Thinking Machines Corporation",Cambridge MA
1039,Massey University,Palmerston North New Zealand
1040,Matsushita Electric Industrial Co. Ltd.,Japan
1041,,Max Planck Digital Library
1042,Max Planck Institute for Computer Science,Saarbrucken Germany
1043,Max Planck Institute for Evolutionary Anthropology,Leipzig Germany
1044,Max Planck Institute for Informatics,Saarbrucken Germany
1045,Max Planck Institute for Psycholinguistics,Nijmegen The Netherlands
1046,"Max Planck Institute for Psycholinguistics, Nijmegen The Netherlands; Leiden University",Leiden The Netherlands
1047,Mayo Clinic,Rochester MN
1048,McDonnell Douglas Electronics Systems Company,Santa Ana CA
1049,McGill University,Montreal QU
1050,Med Vth University,Rabat Morocco
1051,MediCel Ltd.,Helsinki Finland
1052,Media Lab Europe,Dublin Ireland
1053,Media Research and Education Center,Budapest Hungary
1054,Medical College of Pennsylvania,Philadelphia PA
1055,Medical College of Wisconsin,Milwaukee WI
1056,Medical University,Vienna Austria
1057,Meertens Institute,Amsterdam The Netherlands
1058,Meio University,Nago Japan
1059,Melingo Ltd.,Tel Aviv Israel
1060,Memodata,Caen France
1061,"Memodata, Caen France; University of Caen",Caen France
1062,Memorial University of Newfoundland,St. John's NF
1063,Memorial University of Newfoundland,St. John's NL
1064,Mentasys GmbH,Karlsruhe Germany
1065,Meraka Institute,Pretoria South Africa
1066,MetaCarta Inc.,Cambridge MA
1067,Metagram,New York NY
1068,Michigan State University,East Lansing MI
1069,"Microsoft Co., Ltd.",Japan
1070,Microsoft Institute,North Ryde Australia
1071,"Microsoft Institute, North Ryde Australia; Macquarie University",Sydney Australia
1072,Microsoft Research Asia,Beijing China
1073,Microsoft Research Cambridge,Cambridge UK
1074,Microsoft Research India,Bangalore India
1075,Microsoft Research,Munich Germany
1076,Microsoft Research,Redmond WA
1077,"Microsoft Research, Redmond WA; Brown University",Providence RI
1078,"Microsoft Research, Redmond WA; Powerset, Inc.",San Francisco CA
1079,Middle East Technical University,Ankara Turkey
1080,Middlesex University,London UK
1081,Mie University,Mie Japan
1082,Millersville University,Millersville PA
1083,Ming Chuan University,Taoyuan Taiwan
1084,Minho University,Braga Portugal
1085,Ministry of Communications & Information Technology,Government of India
1086,Ministry of Education,China
1087,Ministry of Higher Education Scientific Research and Technology,Tunisia
1088,Mission Critical,Brussels Belgium
1089,Mississippi State University,Starkville MS
1090,Mitsubishi Electric Corp.,Japan
1091,"Mitsubishi Electric Corp., Japan; Telecommunications Advancement Organization of Japan",Japan
1092,Mitsubishi Electric Research Labs,Cambridge MA
1093,"Mitsui Knowledge Industry Co., Ltd.",Tokyo Japan
1094,Mobile Technologies,Inc.
1095,Mohammed V University at Agdal,Agdal Morocco
1096,Monash University,Clayton Australia
1097,Monmouth University,West Long Branch NJ
1098,Monster Worldwide Inc.,Mountain View CA
1099,Montclair State University,Montclair NJ
1100,"Montpellier Laboratory of Computer Science, Robotics, and Microelectronics",Montpellier France
1101,Moretti,Lorenzo
1102,MorphoLogic,Budapest Hungary
1103,"MorphoLogic, Budapest Hungary; Hungarian Academy of Sciences",Budapest Hungary
1104,"MorphoLogic, Budapest Hungary; OPKM Computing Centre",Budapest Hungary
1105,Moscow State University,Moscow Russia
1106,Motorola Labs,Schaumburg IL
1107,Moudenc,Thierry
1108,Mount Holyoke College,South Hadley MA
1109,Mount Sinai Hospital,Toronto ON
1110,Multilinguism & Speech Technology Group,Madrid Spain
1111,Multimodal Technologies,Inc.
